speciesCode,comName,taxonOrder,familyCode
"aakspa1","Abd al Kuri Sparrow",31573.0,"passer4"
"abbbab1","Abbott's Babbler",26319.0,"pellor2"
"abbboo2","Abbott's Booby",7332.0,"sulida1"
"abbsta2","Abbott's Starling",27935.0,"sturni1"
"abbwar1","Aberrant Bush Warbler",25184.0,"scotoc1"
"abbwar2","Aberrant Bush Warbler (Aberrant)",25194.0,"scotoc1"
"abbwar3","Aberrant Bush Warbler (Perplexing)",25198.0,"scotoc1"
"abcwin1","Abyssinian Crimsonwing",31235.0,"estril1"
"abdsto1","Abdim's Stork",7284.0,"ciconi2"
"abecis1","Aberdare Cisticola",23510.0,"cistic2"
"abethr1","African Bare-eyed Thrush",28438.0,"turdid1"
"abetow","Abert's Towhee",33344.0,"passer3"
"abgthr1","Abyssinian Ground-Thrush",28377.0,"turdid1"
"abhori1","African Black-headed Oriole",19676.0,"orioli1"
"absbil1","Abyssinian Scimitarbill",9650.0,"phoeni2"
"absfin1","Ash-breasted Sierra Finch",35385.0,"thraup2"
"abttyr1","Ash-breasted Tit-Tyrant",16600.0,"tyrann2"
"abycat1","Abyssinian Catbird",25277.0,"sylvii1"
"abygrt1","Abyssinian Ground-Thrush (Abyssinian)",28378.0,"turdid1"
"abylon1","Abyssinian Longclaw",31939.0,"motaci1"
"abynig1","Montane Nightjar (Abyssinian)",3690.0,"caprim2"
"abyrol2","Abyssinian Roller",10331.0,"coraci1"
"abysis1","Ethiopian Siskin",32588.0,"fringi1"
"abyslf1","Abyssinian Slaty-Flycatcher",28937.0,"muscic3"
"abythr1","Abyssinian Thrush",28460.0,"turdid1"
"abythr2","Abyssinian Thrush (Ngorongoro)",28461.0,"turdid1"
"abythr3","Abyssinian Thrush (Abyssinian)",28462.0,"turdid1"
"abywhe1","Socotra White-eye",25669.0,"zoster2"
"abywoo1","Abyssinian Woodpecker",11279.0,"picida1"
"acafly","Acadian Flycatcher",16950.0,"tyrann2"
"accent1","accentor sp.",31527.0,"prunel1"
"accipi","Accipitrine hawk sp. (former Accipiter sp.)",8304.0,"accipi1"
"acowoo","Acorn Woodpecker",11146.0,"picida1"
"acowoo1","Acorn Woodpecker (Acorn)",11147.0,"picida1"
"acowoo2","Acorn Woodpecker (Narrow-fronted)",11154.0,"picida1"
"acrant1","Acre Antshrike",13607.0,"thamno3"
"acrido1","Acridotheres sp.",27898.0,"sturni1"
"acroce1","Acrocephalus sp.",23771.0,"acroce2"
"acrtot1","Acre Tody-Tyrant",16333.0,"tyrann2"
"adepen1","Adelie Penguin",6941.0,"spheni1"
"aderos1","Crimson Rosella (Adelaide)",12488.0,"psitta4"
"adewar1","Adelaide's Warbler",34191.0,"paruli1"
"adtdov1","Adamawa Turtle-Dove",2021.0,"columb2"
"aerodr1","dark swiftlet sp.",4071.0,"apodid1"
"aethop1","Aethopyga sp.",30594.0,"nectar1"
"afbduc1","African Black Duck",527.0,"anatid1"
"afbfly1","African Blue Flycatcher",21910.0,"stenos1"
"afbowl1","African Barred Owlet",9080.0,"strigi1"
"afbowl2","African Barred Owlet (Spot-fronted)",9081.0,"strigi1"
"afbtit2","African Blue Tit",22124.0,"parida1"
"afbwar1","Little Rush Warbler",23941.0,"locust5"
"afcdov1","African Collared-Dove",2036.0,"columb2"
"afcfly1","African Crested Flycatcher",20675.0,"monarc2"
"afdfly1","African Dusky Flycatcher",28804.0,"muscic3"
"afdwar1","African Desert Warbler",25339.0,"sylvii1"
"afecuc1","African Emerald Cuckoo",3307.0,"cuculi1"
"afecuc2","African Emerald Cuckoo (African)",3308.0,"cuculi1"
"afecuc3","African Emerald Cuckoo (Bioko)",3309.0,"cuculi1"
"afecuc4","African Emerald Cuckoo (Insular)",3310.0,"cuculi1"
"afepig1","Afep Pigeon",1894.0,"columb2"
"affeag1","African Fish-Eagle",8374.0,"accipi1"
"afffin","African Firefinch",31416.0,"estril1"
"afffly1","African Forest-Flycatcher",28888.0,"muscic3"
"afgfly1","African Gray Flycatcher",28852.0,"muscic3"
"afghor1","African Gray Hornbill",9664.0,"bucero1"
"afgori2","African Golden Oriole",19632.0,"orioli1"
"afgowl1","African Grass-Owl",8609.0,"tytoni1"
"afgsno1","Afghan Snowfinch",31664.0,"passer4"
"afgwea1","African Golden-Weaver",30798.0,"plocei1"
"afgwoo1","African Gray Woodpecker (Gray)",11307.0,"picida1"
"afgwoo2","African Gray Woodpecker (Sahel)",11306.0,"picida1"
"afhbab1","African Hill Babbler",25279.0,"sylvii1"
"afhbab2","African Hill Babbler (African)",25283.0,"sylvii1"
"afhbab3","Rwenzori Hill Babbler",25286.0,"sylvii1"
"afhbab4","African Hill Babbler (Mt. Cameroon)",25280.0,"sylvii1"
"afhbab5","African Hill Babbler (Claude's)",25281.0,"sylvii1"
"afhbab6","African Hill Babbler (Stierling's)",25282.0,"sylvii1"
"afhhaw1","African Harrier-Hawk",7854.0,"accipi1"
"afmdov1","Mourning Collared-Dove",2043.0,"columb2"
"afmhar1","African Marsh Harrier",8309.0,"accipi1"
"afmwea","Southern Masked-Weaver",30821.0,"plocei1"
"afpfly1","African Paradise-Flycatcher",20781.0,"monarc2"
"afphor1","West African/Congo Pied Hornbill",9662.0,"bucero1"
"afphor2","West African Pied Hornbill",9660.0,"bucero1"
"afphor3","Congo Pied Hornbill",9661.0,"bucero1"
"afpkin1","African Pygmy Kingfisher",10014.0,"alcedi1"
"afpkin2","African Pygmy Kingfisher (Northern)",10015.0,"alcedi1"
"afpsta1","African Pied Starling",27967.0,"sturni1"
"afpswi1","African Palm Swift",4178.0,"apodid1"
"afptit1","African Penduline-Tit",22304.0,"remizi1"
"afpwag1","African Pied Wagtail",31717.0,"motaci1"
"afrbao1","African Barred Owlet (Bar-fronted)",9082.0,"strigi1"
"afrbar1","african barbet sp.",10683.0,"lybiid1"
"afrbro1","African Broadbill",13228.0,"calypt1"
"afrcha1","African Chaffinch",31965.0,"fringi1"
"afrcit1","African Citril",32379.0,"fringi1"
"afrcod1","African Collared-Dove (Domestic type or Ringed Turtle-Dove)",2039.0,"columb2"
"afrcra1","African Crake",5325.0,"rallid1"
"afrcrf1","African Crested Flycatcher (Eastern)",20676.0,"monarc2"
"afrcrf2","African Crested Flycatcher (Southern)",20680.0,"monarc2"
"afrcuc1","African Cuckoo",3438.0,"cuculi1"
"afrcuc2","african cuckooshrike sp.",18777.0,"campep2"
"afrcuh1","African Cuckoo-Hawk",7875.0,"accipi1"
"afrfin1","African Finfoot",5663.0,"helior1"
"afrfof1","African Forest-Flycatcher (Western)",28889.0,"muscic3"
"afrfof2","African Forest-Flycatcher (Eastern)",28892.0,"muscic3"
"afrgos1","African Goshawk",8118.0,"accipi1"
"afrgos2","African Goshawk (Ethiopian)",8124.0,"accipi1"
"afrgos3","African Goshawk (Eastern)",8127.0,"accipi1"
"afrgos4","African Goshawk (Pemba)",8128.0,"accipi1"
"afrgos5","African Goshawk (Southern)",8129.0,"accipi1"
"afrgrp1","African Green-Pigeon",2548.0,"columb2"
"afrgrp2","African Green-Pigeon (African)",2549.0,"columb2"
"afrgrp3","African Green-Pigeon (Gray-breasted)",2563.0,"columb2"
"afrhae1","African Hawk-Eagle",8075.0,"accipi1"
"afrhob1","African Hobby",12077.0,"falcon1"
"afrjac1","African Jacana",6005.0,"jacani1"
"afrmar2","African River Martin",23999.0,"hirund2"
"afrope1","African Openbill",7280.0,"ciconi2"
"afroys1","African Oystercatcher",5802.0,"haemat1"
"afrpas2","Malagasy Palm Swift (Comoro)",4186.0,"apodid1"
"afrpas3","Malagasy Palm Swift (Madagascar)",4187.0,"apodid1"
"afrpet1","African Penduline-Tit (Buff-bellied)",22309.0,"remizi1"
"afrpet2","African Penduline-Tit (White-bellied)",22305.0,"remizi1"
"afrpet3","African Penduline-Tit (Yellow-bellied)",22312.0,"remizi1"
"afrpet4","African Penduline-Tit (Slaty-backed)",22313.0,"remizi1"
"afrpet5","African Penduline-Tit (Buff-vented)",22314.0,"remizi1"
"afrpic1","African Piculet",11107.0,"picida1"
"afrpip1","African Pipit",31766.0,"motaci1"
"afrpip2","African Pipit (Cameroon)",31767.0,"motaci1"
"afrpip3","African Pipit (Yemen)",31768.0,"motaci1"
"afrpip4","African Pipit (African)",31769.0,"motaci1"
"afrpip5","African Pipit (Etosha)",31781.0,"motaci1"
"afrpit1","African Pitta",13377.0,"pittid1"
"afrpyg1","African Pygmy-Goose",453.0,"anatid1"
"afrpyk3","African Pygmy Kingfisher (Southern)",10018.0,"alcedi1"
"afrqua2","Quailfinch (Spectacled)",31326.0,"estril1"
"afrrai1","African Rail",5314.0,"rallid1"
"afrrew2","Common Reed Warbler (Mangrove)",23679.0,"acroce2"
"afrsco1","African Scops-Owl (African)",8759.0,"strigi1"
"afrsco2","Socotra Scops-Owl",8785.0,"strigi1"
"afrsco3","African Scops-Owl (Annobon)",8760.0,"strigi1"
"afrsco4","African Scops-Owl (Snowy)",8761.0,"strigi1"
"afrscr1","Rufous-tailed Scrub-Robin (African)",28969.0,"muscic3"
"afrsee1","african seedeater sp.",32462.0,"fringi1"
"afrshf1","African Shrike-flycatcher",19930.0,"vangid2"
"afrsil1","African Silverbill",31062.0,"estril1"
"afrski1","African Skimmer",6620.0,"larida1"
"afrsni1","African Snipe",6095.0,"scolop2"
"afrspo1","African Spoonbill",7529.0,"thresk1"
"afrsto1","African Stonechat",29690.0,"muscic3"
"afrswi1","African Swift",4108.0,"apodid1"
"afrswi2","African Swift (Bioko)",4109.0,"apodid1"
"afrswi3","African Swift (African)",4110.0,"apodid1"
"afrtai2","African Tailorbird",22989.0,"cistic2"
"afrthr1","African Thrush",28480.0,"turdid1"
"afrthr2","African Thrush (African)",28481.0,"turdid1"
"afrthr3","African Thrush (Black-lored)",28488.0,"turdid1"
"afrthr4","African Thrush (Orange-bellied)",28491.0,"turdid1"
"afrtit1","african tit sp.",22266.0,"parida1"
"afrtro1","african trogon sp.",9460.0,"trogon1"
"afrwar1","Common Reed Warbler (African)",23681.0,"acroce2"
"afsowl1","African Scops-Owl",8758.0,"strigi1"
"afswar1","Barratt's Warbler",23916.0,"locust5"
"afwowl1","African Wood-Owl",9246.0,"strigi1"
"afywar1","African Yellow-Warbler",23641.0,"acroce2"
"afywhe1","Forest White-eye",25671.0,"zoster2"
"afywhe2","Northern Yellow White-eye",25689.0,"zoster2"
"afywhe3","Green White-eye",25672.0,"zoster2"
"afywhe4","Southern Yellow White-eye",25708.0,"zoster2"
"agaher1","Agami Heron",7554.0,"ardeid1"
"agitit1","Agile Tit-Tyrant",16615.0,"tyrann2"
"agular1","Cape Long-billed Lark (Agulhas)",22368.0,"alaudi1"
"agurew1","Aguiguan Reed Warbler",23733.0,"acroce2"
"agwtea1","Green-winged Teal (American)",614.0,"anatid1"
"ahafra2","Ahanta Spurfowl",1819.0,"phasia1"
"ajpant1","Aripuana Antwren",13792.0,"thamno3"
"akekee","Akekee",32142.0,"fringi1"
"akeowl1","Akun Eagle-Owl",8965.0,"strigi1"
"akepa1","Hawaii Akepa",32143.0,"fringi1"
"akepa2","Oahu Akepa",32144.0,"fringi1"
"akepa3","Maui Akepa",32145.0,"fringi1"
"akiapo","Akiapolaau",32129.0,"fringi1"
"akikik","Akikiki",32104.0,"fringi1"
"alaant1","Alagoas Antwren",13766.0,"thamno3"
"alacur1","Alagoas Curassow",926.0,"cracid2"
"alagre1","Alaotra Grebe",6826.0,"podici1"
"alatyr1","Alagoas Tyrannulet",16270.0,"tyrann2"
"alauda1","Alaudala sp.",22833.0,"alaudi1"
"albatr1","albatross sp.",7011.0,"diomed1"
"alblyr1","Albert's Lyrebird",17503.0,"menuri1"
"albowl1","Albertine Owlet",9087.0,"strigi1"
"albwar1","Aldabra Brush-Warbler",23615.0,"acroce2"
"alcgoo1","Cackling Goose (Aleutian)",332.0,"anatid1"
"alcid","alcid sp.",6444.0,"alcida1"
"alcipp1","Alcippe sp.",26419.0,"leioth1"
"alddro1","Aldabra Drongo",20428.0,"dicrur1"
"aldfly","Alder Flycatcher",16951.0,"tyrann2"
"aldwhe1","Aldabra White-eye",25723.0,"zoster2"
"alecto1","Alectoris sp.",1791.0,"phasia1"
"aleowl1","Abyssinian Owl",9260.0,"strigi1"
"alepar1","Princess Parrot",12264.0,"psitta4"
"alepar2","Alexandrine Parakeet",12343.0,"psitta4"
"aleswi1","Cape Verde Swift",4093.0,"apodid1"
"aleter1","Aleutian Tern",6664.0,"larida1"
"alfant1","Alta Floresta Antpitta",14306.0,"gralla2"
"alfgle1","Alagoas Foliage-gleaner",15142.0,"furnar2"
"algnut1","Algerian Nuthatch",26935.0,"sittid1"
"allant1","Allpahuayo Antbird",13997.0,"thamno3"
"allgal1","Allen's Gallinule",5514.0,"rallid1"
"allhum","Allen's Hummingbird",4831.0,"trochi1"
"alomyz1","Alor Myzomela",17980.0,"meliph3"
"alpacc1","Alpine Accentor",31480.0,"prunel1"
"alplew1","Tickell's Leaf Warbler (Alpine)",24829.0,"phyllo4"
"alpmun1","Alpine Munia",31146.0,"estril1"
"alppip1","Alpine Pipit",31849.0,"motaci1"
"alprob1","Subalpine Robin",21742.0,"petroi2"
"alpswi1","Alpine Swift",4077.0,"apodid1"
"alptap1","Tatama Tapaculo",14449.0,"rhinoc1"
"alpthr1","Alpine Thrush",28200.0,"turdid1"
"alsred1","Ala Shan Redstart",29606.0,"muscic3"
"altori","Altamira Oriole",33755.0,"icteri1"
"altsno1","Altai Snowcock",1696.0,"phasia1"
"altyel1","Altamira Yellowthroat",34027.0,"paruli1"
"amaant1","Amazonian Antpitta",14312.0,"gralla2"
"amaant2","Amazonian Antshrike",13598.0,"thamno3"
"amabaw1","Amazonian Barred-Woodcreeper",14713.0,"furnar2"
"amabaw2","Amazonian Barred-Woodcreeper (Napo)",14714.0,"furnar2"
"amabaw3","Amazonian Barred-Woodcreeper (Amazonian)",14715.0,"furnar2"
"amabaw4","Amazonian Barred-Woodcreeper (Jurua)",14716.0,"furnar2"
"amabaw5","Amazonian Barred-Woodcreeper (Plain-colored)",14719.0,"furnar2"
"amabaw6","Amazonian Barred-Woodcreeper (Ridgway's)",14720.0,"furnar2"
"amabaw7","Amazonian Barred-Woodcreeper (Todd's)",14722.0,"furnar2"
"amahum1","Amazilia Hummingbird",5123.0,"trochi1"
"amahum4","Amazilia Hummingbird (Amazilia)",5128.0,"trochi1"
"amahum5","Amazilia Hummingbird (Blue-throated)",5129.0,"trochi1"
"amahum6","Amazilia Hummingbird (Green-tailed)",5124.0,"trochi1"
"amahum7","Amazilia Hummingbird (Azuay)",5125.0,"trochi1"
"amahum8","Amazilia Hummingbird (Montane)",5126.0,"trochi1"
"amahum9","Amazilia Hummingbird (North Peruvian)",5127.0,"trochi1"
"amakin1","Amazon Kingfisher",10312.0,"alcedi1"
"amapar1","Amazonian Parrotlet",12818.0,"psitta3"
"amapyo1","Amazonian Pygmy-Owl",9034.0,"strigi1"
"amaspi1","Amazonian Spinetail (undescribed form)",15602.0,"furnar2"
"amasta1","Amazonian Streaked-Antwren",13722.0,"thamno3"
"amasun2","Amani Sunbird",30209.0,"nectar1"
"amatyr1","Amazonian Tyrannulet",16838.0,"tyrann2"
"amaui","Amaui",28193.0,"turdid1"
"amaumb1","Amazonian Umbrellabird",15918.0,"coting1"
"amawoo1","Amami Woodcock",6066.0,"scolop2"
"amazon","amazon sp.",12977.0,"psitta3"
"ambduc","American Black Duck",571.0,"anatid1"
"ambtyr1","Amazonian Black-Tyrant",17059.0,"tyrann2"
"ambwhe1","Ambon White-eye",25851.0,"zoster2"
"ameavo","American Avocet",5780.0,"recurv1"
"amebit","American Bittern",7560.0,"ardeid1"
"amebrd1","Amethyst Brown-Dove (Amethyst)",2475.0,"columb2"
"amebrd2","Amethyst Brown-Dove (Gray-breasted)",2478.0,"columb2"
"amebrd3","Amethyst Brown-Dove (Cebu)",2479.0,"columb2"
"amecoo","American Coot (Red-shielded)",5503.0,"rallid1"
"amecro","American Crow",21557.0,"corvid1"
"amedip","American Dipper",27668.0,"cincli1"
"amedip1","American Dipper (Northern)",27669.0,"cincli1"
"amedip2","American Dipper (Costa Rican)",27673.0,"cincli1"
"amedov1","Amethyst Brown-Dove",2474.0,"columb2"
"amegfi","American Goldfinch",32617.0,"fringi1"
"amekes","American Kestrel",12028.0,"falcon1"
"amekes1","American Kestrel (Northern)",12029.0,"falcon1"
"amekes2","American Kestrel (South American)",12038.0,"falcon1"
"amekes3","American Kestrel (Eastern Caribbean)",12035.0,"falcon1"
"amekes4","American Kestrel (Hispaniolan)",12036.0,"falcon1"
"amekes5","American Kestrel (Cuban)",12037.0,"falcon1"
"amekes6","American Kestrel (Juan Fernandez)",12047.0,"falcon1"
"amekes7","American Kestrel (Southeastern)",12034.0,"falcon1"
"ameoys","American Oystercatcher",5799.0,"haemat1"
"amepip","American Pipit",31883.0,"motaci1"
"amered","American Redstart",34058.0,"paruli1"
"amerob","American Robin",28633.0,"turdid1"
"amerob1","American Robin (migratorius Group)",28635.0,"turdid1"
"amerob2","American Robin (San Lucas)",28641.0,"turdid1"
"amerob3","American Robin (nigrideus)",28634.0,"turdid1"
"amesun2","Amethyst Sunbird",30263.0,"nectar1"
"amewig","American Wigeon",517.0,"anatid1"
"amewoo","American Woodcock",6064.0,"scolop2"
"amewoo1","Amethyst Woodstar",4769.0,"trochi1"
"amgplo","American Golden-Plover",5815.0,"charad1"
"amhgul1","American Herring Gull",6539.0,"larida1"
"ammoma1","Ammomanes sp.",22405.0,"alaudi1"
"ammosp1","Ammospiza sp.",33243.0,"passer3"
"ammrot1","Amber Mountain Rock-Thrush",29647.0,"muscic3"
"ampkin1","American Pygmy Kingfisher",10313.0,"alcedi1"
"amptap1","Ampay Tapaculo",14416.0,"rhinoc1"
"amptap2","Ampay Tapaculo (Apurimac)",14417.0,"rhinoc1"
"amptap3","Ampay Tapaculo (Ayacucho)",14418.0,"rhinoc1"
"amsduc1","Amsterdam Duck",526.0,"anatid1"
"amsfly1","Amazonian Scrub-Flycatcher",17024.0,"tyrann2"
"amthum1","Amethyst-throated Mountain-gem",4745.0,"trochi1"
"amthum2","Amethyst-throated Mountain-gem (Amethyst-throated)",4746.0,"trochi1"
"amthum3","Amethyst-throated Mountain-gem (Violet-throated)",4751.0,"trochi1"
"amtspa","American Tree Sparrow",33095.0,"passer3"
"amtsun2","Longuemare's Sunangel",4404.0,"trochi1"
"amtsun3","Amethyst-throated Sunangel",4408.0,"trochi1"
"amtsun4","Merida Sunangel",4407.0,"trochi1"
"amufal1","Amur Falcon",12058.0,"falcon1"
"amupaf1","Amur Paradise-Flycatcher",20726.0,"monarc2"
"amwpel","American White Pelican",7791.0,"peleca1"
"anabac1","Anabacerthia sp.",15162.0,"furnar2"
"anaire1","Anairetes sp.",16614.0,"tyrann2"
"anarhy1","Anarhynchus sp.",5962.0,"charad1"
"anas1","Anas sp.",653.0,"anatid1"
"anawax1","Anambra Waxbill",31289.0,"estril1"
"anbtyr1","Antioquia Bristle-Tyrant",16252.0,"tyrann2"
"anbwar1","Malagasy Brush-Warbler (Anjouan)",23617.0,"acroce2"
"ancant1","Ancient Antwren",13800.0,"thamno3"
"ancbar1","Anchieta's Barbet",10579.0,"lybiid1"
"anccha1","Angola Cave-Chat",29246.0,"muscic3"
"ancdov1","Andaman Cuckoo-Dove",2110.0,"columb2"
"anchum1","Antillean Crested Hummingbird",4938.0,"trochi1"
"anchum2","Antillean Crested Hummingbird (Lesser Antilles)",4939.0,"trochi1"
"anchum3","Antillean Crested Hummingbird (St. Vincent)",4940.0,"trochi1"
"anchum4","Antillean Crested Hummingbird (Barbados)",4941.0,"trochi1"
"anchum5","Antillean Crested Hummingbird (Grenadines and Grenada)",4942.0,"trochi1"
"ancmur","Ancient Murrelet",6433.0,"alcida1"
"ancsun1","Anchieta's Sunbird",30154.0,"nectar1"
"anctap1","Ancash Tapaculo",14403.0,"rhinoc1"
"andavo1","Andean Avocet",5779.0,"recurv1"
"andbul1","Andaman Bulbul",24625.0,"pycnon4"
"andcon1","Andean Condor",7810.0,"cathar2"
"andcot1","Andean Cock-of-the-rock",15900.0,"coting1"
"andcou1","Andaman Coucal",3120.0,"cuculi1"
"andcra1","Andaman Crake",5566.0,"rallid1"
"andcus1","Andaman Cuckooshrike",18751.0,"campep2"
"anddro1","Andaman Drongo",20530.0,"dicrur1"
"andduc1","Andean Duck",780.0,"anatid1"
"andduc2","Andean Duck (andina)",781.0,"anatid1"
"andeme1","Andean Emerald",5130.0,"trochi1"
"andfla2","Andean Flamingo",6817.0,"phoeni1"
"andfli1","Andean Flicker",11924.0,"picida1"
"andfli2","Andean Flicker (Northern)",11925.0,"picida1"
"andfli3","Andean Flicker (Southern)",11926.0,"picida1"
"andflo1","Andaman Flowerpecker",30045.0,"dicaei1"
"andgoo1","Andean Goose",400.0,"anatid1"
"andgua1","Andean Guan",900.0,"cracid2"
"andgua7","Andean Guan (Northern)",901.0,"cracid2"
"andgua8","Andean Guan (Southern)",905.0,"cracid2"
"andgul1","Andean Gull",6470.0,"larida1"
"andhao1","Andaman Boobook",9331.0,"strigi1"
"andhil2","Green-headed Hillstar",4491.0,"trochi1"
"andhil3","Andean Hillstar",4494.0,"trochi1"
"andlap1","Andean Lapwing",5902.0,"charad1"
"andneg1","Andean Negrito",17047.0,"tyrann2"
"andnig1","Andaman Nightjar",3672.0,"caprim2"
"andpar1","Andean Parakeet",12815.0,"psitta3"
"andpot1","Andean Potoo",3762.0,"nyctib1"
"andsha1","Andaman Shama",29030.0,"muscic3"
"andsis1","Andean Siskin",32627.0,"fringi1"
"andsni1","Jameson's Snipe",6084.0,"scolop2"
"andsol1","Andean Solitaire",28186.0,"turdid1"
"andsol2","Andean Solitaire (plumbeiceps)",28187.0,"turdid1"
"andsol3","Andean Solitaire (venezuelensis/candelae)",28188.0,"turdid1"
"andsol4","Andean Solitaire (ralloides)",28191.0,"turdid1"
"andstp1","Andean Storm-Petrel (unrecognized species)",7019.0,"oceani2"
"andswa2","Andean Swallow",24139.0,"hirund2"
"andswi1","Andean Swift",4164.0,"apodid1"
"andtea1","Andaman Teal",635.0,"anatid1"
"andtea2","Andean Teal (Merida)",627.0,"anatid1"
"andtea3","Andean Teal (Andean)",628.0,"anatid1"
"andtin1","Andean Tinamou",92.0,"tinami1"
"andtin10","Andean Tinamou (Northern)",93.0,"tinami1"
"andtin11","Andean Tinamou (Southern)",97.0,"tinami1"
"andtre1","Andaman Treepie",21458.0,"corvid1"
"andtyr1","Jelski's/Plumbeous Black-Tyrant",17065.0,"tyrann2"
"andtyr2","Plumbeous Black-Tyrant",17064.0,"tyrann2"
"andtyr3","Jelski's Black-Tyrant",17063.0,"tyrann2"
"andwoo1","Andaman Woodpecker",11783.0,"picida1"
"angbat1","Angola Batis",19902.0,"platys1"
"anghel1","Angola Helmetshrike",19925.0,"vangid2"
"anglar1","Angola Lark",22531.0,"alaudi1"
"angpet1","Southern Giant-Petrel",7087.0,"procel3"
"angslf1","Angola Slaty-Flycatcher",28934.0,"muscic3"
"angswa1","Angola Swallow",24206.0,"hirund2"
"anhing","Anhinga",7367.0,"anhing3"
"aniani","Anianiau",32134.0,"fringi1"
"anjsun2","Anjouan Sunbird",30499.0,"nectar1"
"anjwhe1","Anjouan White-eye",25715.0,"zoster2"
"ankser2","Ankober Serin",32459.0,"fringi1"
"annhum","Anna's Hummingbird",4814.0,"trochi1"
"anpowl1","Andean Pygmy-Owl",9022.0,"strigi1"
"anpswi","Antillean Palm Swift",4188.0,"apodid1"
"anseag1","Andaman Serpent-Eagle",7983.0,"accipi1"
"anser1","Anser sp.",313.0,"anatid1"
"ansgre1","Ansorge's Greenbul",24398.0,"pycnon4"
"ansowl1","Andaman Scops-Owl",8661.0,"strigi1"
"ansowl2","Anjouan Scops-Owl",8786.0,"strigi1"
"antalb1","Antipodean Albatross",6979.0,"diomed1"
"antant1","Urrao Antpitta",14289.0,"gralla2"
"antbir1","antbird sp.",14125.0,"thamno3"
"antbrf1","Antioquia Brushfinch",33483.0,"passer3"
"anteup2","Hispaniolan Euphonia",31981.0,"fringi1"
"anteup3","Puerto Rican Euphonia",31982.0,"fringi1"
"anteup4","Lesser Antillean Euphonia",31983.0,"fringi1"
"antman2","Hispaniolan Mango",4394.0,"trochi1"
"antman3","Puerto Rican Mango",4395.0,"trochi1"
"antnig","Antillean Nighthawk",3502.0,"caprim2"
"antpar1","Antipodes Parakeet",12455.0,"psitta4"
"antpet1","Antarctic Petrel",7096.0,"procel3"
"antpic1","Antillean Piculet",11116.0,"picida1"
"antros1","Antrostomus sp.",3624.0,"caprim2"
"antsha1","Imperial Cormorant (Antarctic)",7453.0,"phalac1"
"antshr1","antshrike sp.",13625.0,"thamno3"
"antsis1","Antillean Siskin",32608.0,"fringi1"
"antspi1","Andean Tit-Spinetail",15336.0,"furnar2"
"anttan1","ant-tanager sp.",34492.0,"cardin1"
"antter1","Antarctic Tern",6736.0,"larida1"
"antter2","Antarctic Tern (Antarctic)",6737.0,"larida1"
"antter3","Antarctic Tern (South Georgia)",6743.0,"larida1"
"antthr1","antthrush sp.",14532.0,"formic2"
"antvir1","antvireo sp.",13656.0,"thamno3"
"antwre1","antwren sp.",13859.0,"thamno3"
"antwre2","Antioquia Wren",27529.0,"troglo1"
"anweye1","Annobon White-eye",25684.0,"zoster2"
"anwpig1","Andaman Wood-Pigeon",1913.0,"columb2"
"apalis1","apalis sp.",23147.0,"cistic2"
"apapan","Apapane",32117.0,"fringi1"
"apapan2","Laysan Honeycreeper",32116.0,"fringi1"
"apbsun2","Apricot-breasted Sunbird",30480.0,"nectar1"
"apifly1","Apical Flycatcher",17316.0,"tyrann2"
"aplfal","Aplomado Falcon",12092.0,"falcon1"
"aploni1","Aplonis sp.",27779.0,"sturni1"
"apomyn2","Apo Myna",27783.0,"sturni1"
"apostl1","Apostlebird",21017.0,"corcor1"
"apowre1","Apolinar's Wren",27326.0,"troglo1"
"apptet1","Appert's Tetraka",23977.0,"bernie1"
"apubrf1","Apurimac Brushfinch",33508.0,"passer3"
"apus1","Apus/Tachymarptis sp.",4157.0,"apodid1"
"apus2","Apus sp.",4156.0,"apodid1"
"apusco1","Koepcke's Screech-Owl (Apurimac)",8822.0,"strigi1"
"apuspi1","Apurimac Spinetail",15646.0,"furnar2"
"aquila1","Aquila sp.",8076.0,"accipi1"
"aquwar1","Aquatic Warbler",23654.0,"acroce2"
"arabab1","Arabian Babbler",26645.0,"leioth1"
"arabus1","Arabian Bustard",2913.0,"otidid1"
"aracar1","aracari sp.",10913.0,"rampha1"
"arafan1","Arafura Fantail",20334.0,"rhipid1"
"arafan10","Supertramp Fantail (Tanimbar)",20330.0,"rhipid1"
"arafan2","Supertramp Fantail",20322.0,"rhipid1"
"arafan8","Supertramp Fantail (Pale-fronted)",20328.0,"rhipid1"
"arafan9","Supertramp Fantail (Babar)",20329.0,"rhipid1"
"araman1","Araripe Manakin",15697.0,"piprid1"
"arapar1","Arabian Partridge",1760.0,"phasia1"
"arasco1","Arabian Scops-Owl",8746.0,"strigi1"
"aratin","large parakeet sp. (former Aratinga sp.)",13214.0,"psitta3"
"arawax1","Arabian Waxbill",31319.0,"estril1"
"arawoo1","Arabian Woodpecker",11272.0,"picida1"
"arboro1","Arborophila/Tropicoperdix sp.",1593.0,"phasia1"
"arcbow1","Archbold's Bowerbird",17536.0,"ptilon1"
"arcbuz1","Augur Buzzard (Archer's)",8540.0,"accipi1"
"archil1","Ruby-throated/Black-chinned Hummingbird",4807.0,"trochi1"
"arcloo","Arctic Loon",6928.0,"gaviid1"
"arcnew1","Archbold's Newtonia",19969.0,"vangid2"
"arcnig1","Archbold's Nightjar",3461.0,"caprim2"
"arcroc1","Archer's Robin-Chat (Archer's)",29204.0,"muscic3"
